dataset_id	repository	accession	data_type	organism	download_url	download_date	checksum	license_or_access_terms	inclusion_status	exclusion_reason
TCGA_LGG	NCI_GDC	TCGA-LGG	bulk_RNA_clinical_mutation_CNV_methylation	Homo sapiens	https://portal.gdc.cancer.gov/projects/TCGA-LGG	2026-08-01	see_provenance/file-manifest.tsv	GDC_data_use_policies	primary_RNA_complete_other_omics_data_pending	
TCGA_GBM	NCI_GDC	TCGA-GBM	bulk_RNA_clinical_mutation_CNV_methylation	Homo sapiens	https://portal.gdc.cancer.gov/projects/TCGA-GBM	2026-08-01	see_provenance/file-manifest.tsv	GDC_data_use_policies	primary_RNA_complete_other_omics_data_pending	
CGGA_RNASEQ_693	CGGA	mRNAseq_693	bulk_RNAseq_and_clinical	Homo sapiens	http://www.cgga.org.cn/download.jsp	2026-08-01	see_provenance/file-manifest.tsv	CGGA_data_use_and_citation_terms	clinical_and_integer_counts_complete	
CGGA_RNASEQ_325	CGGA	mRNAseq_325	bulk_RNAseq_and_clinical	Homo sapiens	http://www.cgga.org.cn/download.jsp	2026-08-01	see_provenance/file-manifest.tsv	CGGA_data_use_and_citation_terms	clinical_and_integer_counts_complete	
CGGA_ARRAY_301	CGGA	mRNA_array_301	bulk_expression_array_and_clinical	Homo sapiens	http://www.cgga.org.cn/download.jsp	pending	pending	CGGA_data_use_and_citation_terms	conditional_platform_sensitivity	patient_overlap_with_RNAseq_cohorts
SC_GSE131928	NCBI_GEO	GSE131928	single_cell_RNAseq	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131928	2026-08-01	see_provenance/file-manifest.tsv	NCBI_GEO_repository_terms	public_supplementary_files_complete	processed_data_only_due_to_source_privacy_restrictions
SC_GSE138794	NCBI_GEO	GSE138794	scRNA_snRNA_scATAC	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138794	2026-08-01	see_provenance/file-manifest.tsv	NCBI_GEO_repository_terms	public_supplementary_files_complete	mixed_modalities_require_patient_assay_map_and_raw_data_unavailable_due_to_privacy
SC_GSE103224	NCBI_GEO	GSE103224	single_cell_RNAseq	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103224	2026-08-01	see_provenance/file-manifest.tsv	NCBI_GEO_repository_terms	public_supplementary_files_complete	processing_level_to_be_audited_before_Seurat_import
SC_GSE182109	NCBI_GEO	GSE182109	single_cell_RNAseq_immune_focused	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182109	pending	pending	NCBI_GEO_repository_terms	conditional_immune_validation	repeated_regions_and_mixed_disease_states
SC_GSE162631	NCBI_GEO	GSE162631	single_cell_RNAseq_endothelial_region	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162631	pending	pending	NCBI_GEO_repository_terms	conditional_vascular_region_validation	four_patients_and_targeted_cell_context
SC_GSE173278	NCBI_GEO	GSE173278	single_cell_RNAseq_tissue_organoid_cell_line	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173278	pending	pending	NCBI_GEO_repository_terms	conditional_model_retention_validation	mixed_tissue_organoid_cell_line_and_recurrence
SC_GSE84465	NCBI_GEO	GSE84465	single_cell_RNAseq_infiltrating_front	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84465	pending	pending	NCBI_GEO_repository_terms	conditional_infiltrating_edge_validation	small_patient_base_and_cell_level_GEO_records
SC_GSE141383	NCBI_GEO	GSE141383	composite_single_cell_macrophage_atlas	Homo sapiens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141383	pending	pending	NCBI_GEO_repository_terms	excluded_as_independent_validation	composite_of_new_and_previously_published_data_overlap_risk
MSIGDB_HALLMARK_2025_1_HS	Broad_Institute_MSigDB	h.all.v2025.1.Hs.entrez	curated_gene_sets	Homo sapiens	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/	2026-08-01	see_provenance/file-manifest.tsv	MSigDB_data_use_terms_and_required_database_publication_citation	included_primary_Hallmark_GSEA	
REACTOME_97	Reactome	database_version_97	curated_pathway_gene_mapping	Homo sapiens	https://reactome.org/download/current/	2026-08-01	see_provenance/file-manifest.tsv	Reactome_data_license_and_required_database_publication_citation	included_primary_Reactome_GSEA	
GENCODE_V36	GENCODE	gencode.v36.annotation.gtf.gz	gene_annotation_GTF	Homo sapiens	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_36/gencode.v36.annotation.gtf.gz	2026-08-01	81359865bab048361cbeaf91c9441aac4c700b63978e6691d579d78bf2322d30	GENCODE_data_use_terms	included_CNV_gene_order	
MCP_COUNTER_SIGNATURE	MCP-counter	genes.txt	immune_cell_marker_signature	Homo sapiens	https://github.com/ebecht/MCPcounter	2026-08-01	408f6c5d02c8f9bd2f1599c598367881853520934f8ce398a4886a8b296922bb	CC0_1.0	included_bulk_immune_inference	
ESTIMATE_SIGNATURE	estimate_RForge	SI_geneset_1.0.13	immune_and_stromal_signatures	Homo sapiens	https://r-forge.r-project.org/projects/estimate/	2026-08-01	bfd34f3f811656a5781521d9e59b513bc34c45692ad35afdd81c3879d7a187ca	GPL_package_source_and_method_citation	included_bulk_immune_inference	
