component	version	source	installed_date	status
R	4.6.1	CRAN Windows installation	2026-08-01	frozen_analysis_environment
Bioconductor	3.23	Bioconductor release	2026-08-01	frozen_analysis_environment
renv	1.2.3	CRAN	2026-08-01	frozen_analysis_environment
DESeq2	1.52.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
GEOquery	2.80.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
Seurat	5.5.1	CRAN	2026-08-01	frozen_analysis_environment
clusterProfiler	4.20.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
fgsea	1.38.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
org.Hs.eg.db	3.23.1	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
MultiAssayExperiment	1.38.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
SummarizedExperiment	1.42.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
sva	3.60.0	Bioconductor 3.23	2026-08-01	frozen_analysis_environment
ggplot2	4.0.3	CRAN	2026-08-01	frozen_analysis_environment
patchwork	1.3.2	CRAN	2026-08-01	frozen_analysis_environment
gtsummary	2.5.1	CRAN	2026-08-01	frozen_analysis_environment
flextable	0.10.0	CRAN	2026-08-01	frozen_analysis_environment
survival	3.8.9	CRAN	2026-08-01	frozen_analysis_environment
Context router test runtime	Python 3.12.13	Codex bundled runtime	2026-07-31	infrastructure_validation_only_not_analysis_environment
Python case-study archive verification runtime	3.12.13	Codex bundled runtime	2026-08-11	public_archive_dependency_verification_not_analysis_environment
pillow	12.2.0	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
python-docx	1.2.0	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
lxml	6.0.2	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
numpy	2.3.5	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
openpyxl	3.1.5	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
pandas	3.0.1	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
pypdf	6.10.0	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
reportlab	4.4.9	Codex bundled Python runtime	2026-08-11	case_study_python_dependency_verified
